,frequency
Twice,1
in,1
three,1
days,1
Chris,1
and,2
I,5
were,2
mucking,1
around,1
with,1
his,2
OpenBSD,1
firewall,2
trying,1
to,6
recover,1
data,1
from,1
a,3
dead,1
drive,1
This,1
box,2
is,1
file,1
NAT,1
server,1
Without,1
this,1
no,3
internet,3
While,1
we,1
waiting,1
for,2
it,2
reboot,1
was,1
thinking,1
of,1
things,1
do,2
Oh,1
go,2
www,1
somesite,1
com,1
Uh,2
D,1
oh,1
right,1
access,2
Just,1
today,1
had,1
restart,1
my,1
web,2
proxy,2
What,1
can,1
while,1
wait,1
the,1
Ah,1
slashdot,1
Right,1
again,1
Is,1
bad,1
sign,1
when,1
you,2
just,1
assume,1
that,1
have,1
24,1
7,1
broadband,1
connection,1
