,word,lemma
0,urlLink,urllink
1,Heinlein,heinlein
2,long,long
3,lost,lost
4,first,first
5,novel,novel
6,For,for
7,Us,Us
8,Living,live
9,also,also
10,includes,includ
11,one,one
12,chilling,chill
13,incident,incid
14,surprise,surpris
15,attack,attack
16,island,island
17,Manhattan,manhattan
18,two,two
19,giant,giant
20,helicopters,helicopt
21,flood,flood
22,poison,poison
23,gas,ga
24,killing,kill
25,80,80
26,per,per
27,cent,cent
28,population,popul
29,The,the
30,based,base
31,aircraft,aircraft
32,carriers,carrier
33,comes,come
34,United,unit
35,States,state
36,war,war
37,Argentina,argentina
38,Brazil,brazil
39,Chile,chile
40,December,decemb
41,2003,2003
