,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date
1,Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,3/12/2016
2,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,4/02/2016
4,Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,4/03/2017
5,Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,4/03/2017
6,Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016
10,Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,7/05/2016
11,Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,7/05/2016
14,Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,8/10/2016
15,Abbotsford,217 Langridge St,3,h,1000000.0,S,Jellis,8/10/2016
16,Abbotsford,18a Mollison St,2,t,745000.0,S,Jellis,8/10/2016
17,Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,8/10/2016
18,Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016
19,Abbotsford,403/609 Victoria St,2,u,542000.0,S,Dingle,8/10/2016
21,Abbotsford,25/84 Trenerry Cr,2,u,760000.0,SP,Biggin,10/12/2016
22,Abbotsford,106/119 Turner St,1,u,481000.0,SP,Purplebricks,10/12/2016
23,Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12/11/2016
24,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12/11/2016
25,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12/11/2016
26,Abbotsford,22 Park St,4,h,1985000.0,S,Biggin,12/11/2016
27,Abbotsford,13/84 Trenerry Cr,1,u,500000.0,S,Biggin,12/11/2016
28,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13/08/2016
29,Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14/05/2016
30,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016
32,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16/07/2016
33,Abbotsford,250 Langridge St,2,t,847000.0,S,Jellis,16/07/2016
35,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16/07/2016
36,Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17/09/2016
37,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17/09/2016
38,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18/03/2017
40,Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18/03/2017
41,Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,18/03/2017
42,Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18/06/2016
43,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016
44,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016
45,Abbotsford,65/80 Trenerry Cr,1,u,480000.0,S,Biggin,19/11/2016
46,Abbotsford,119/52 Nicholson St,1,u,423500.0,S,hockingstuart,22/05/2016
48,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22/08/2016
49,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016
50,Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22/08/2016
51,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016
52,Abbotsford,49/84 Trenerry Cr,2,h,700000.0,S,Biggin,23/04/2016
53,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24/09/2016
54,Abbotsford,17/1 Abbot St,3,t,962000.0,SP,Jellis,25/02/2017
55,Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25/02/2017
56,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017
57,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016
