,Price
0,1674962.76
1,1674962.76
2,1674962.76
3,1674962.76
4,1674962.76
5,1674962.76
6,1674962.76
7,1674962.76
8,932680.0
9,1674962.76
10,1674962.76
11,1652543.88
12,1674962.76
13,1674962.76
14,1674962.76
15,1674962.76
16,1674962.76
17,1674962.76
18,932680.0
19,1674962.76
20,932680.0
21,1674962.76
22,932680.0
23,910875.0
24,1674962.76
25,1674962.76
26,932680.0
27,1674962.76
28,932680.0
29,1674962.76
30,1674962.76
31,1674962.76
32,1674962.76
33,1674962.76
34,1674962.76
35,1652543.88
36,1674962.76
37,1674962.76
38,932680.0
39,932680.0
40,932680.0
41,1674962.76
42,1674962.76
43,1674962.76
44,1674962.76
45,1674962.76
46,1674962.76
47,1674962.76
48,932680.0
49,1674962.76
50,1674962.76
51,1674962.76
52,1674962.76
53,1674962.76
54,1674962.76
55,1674962.76
56,1674962.76
57,1674962.76
58,1674962.76
59,1674962.76
60,1674962.76
61,1674962.76
62,932680.0
63,1674962.76
64,1674962.76
65,1674962.76
66,1652543.88
67,932680.0
68,1674962.76
69,1674962.76
70,1674962.76
71,1674962.76
72,1674962.76
73,1674962.76
74,1674962.76
75,932680.0
76,1674962.76
77,1674962.76
78,1652543.88
79,1674962.76
80,932680.0
81,1674962.76
82,932680.0
83,1674962.76
84,1674962.76
85,1674962.76
86,932680.0
87,1652543.88
88,1674962.76
89,1674962.76
90,1674962.76
91,1674962.76
92,1674962.76
93,1674962.76
94,1652543.88
95,1674962.76
96,1674962.76
97,1652543.88
98,1674962.76
99,1674962.76
100,1674962.76
101,1674962.76
102,1674962.76
103,1674962.76
104,1674962.76
105,1674962.76
106,1674962.76
107,1674962.76
108,1674962.76
109,1652543.88
110,1674962.76
111,1674962.76
112,1674962.76
113,1674962.76
114,1652543.88
115,1674962.76
116,932680.0
117,1674962.76
118,1674962.76
119,1674962.76
120,1674962.76
121,1674962.76
122,1674962.76
123,1674962.76
124,932680.0
125,1674962.76
126,1674962.76
127,1674962.76
128,1674962.76
129,1674962.76
130,932680.0
131,1674962.76
132,1674962.76
133,1674962.76
134,932680.0
135,1674962.76
136,1674962.76
137,1674962.76
138,1674962.76
139,932680.0
140,1674962.76
141,1674962.76
142,1674962.76
143,1674962.76
144,1674962.76
145,1674962.76
146,932680.0
147,1674962.76
148,1674962.76
149,1674962.76
150,932680.0
151,932680.0
152,1674962.76
153,1674962.76
154,932680.0
155,1674962.76
156,1674962.76
157,932680.0
158,1674962.76
159,1652543.88
160,1674962.76
161,1674962.76
162,1674962.76
163,1674962.76
164,1674962.76
165,1674962.76
166,1674962.76
167,1674962.76
168,1674962.76
169,1674962.76
170,1674962.76
171,1674962.76
172,932680.0
173,1674962.76
174,1674962.76
175,1652543.88
176,1674962.76
177,1674962.76
178,932680.0
179,1674962.76
180,1674962.76
181,1674962.76
182,1674962.76
183,1674962.76
184,1674962.76
185,1674962.76
186,1674962.76
187,1674962.76
188,1674962.76
189,1674962.76
190,1674962.76
191,932680.0
192,1674962.76
193,1674962.76
194,1674962.76
195,1674962.76
196,1674962.76
197,932680.0
198,1652543.88
