,Rooms,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,Price
159,3,5.9,3032.0,2.0,2.0,285.0,128.0,1900.0,-37.775,144.9091,6567.0,971000.0
5525,1,5.0,3182.0,1.0,1.0,0.0,55.0,2000.0,-37.87094,144.9807,13240.0,468000.0
2389,2,2.3,3051.0,1.0,1.0,0.0,65.0,1970.0,-37.7994,144.9464,6821.0,540000.0
1207,3,10.3,3084.0,1.0,2.0,846.0,180.0,1955.0,-37.7666,145.0591,1651.0,1816000.0
2453,3,5.5,3070.0,1.0,1.0,328.0,135.0,1920.0,-37.7745,145.0045,11364.0,1300000.0
1278,2,7.7,3184.0,2.0,1.0,0.0,104.0,1923.0,-37.8744,144.9888,8989.0,1122000.0
6011,3,18.0,3037.0,2.0,2.0,389.0,161.0,2005.0,-37.71364000000001,144.76031,4242.0,520000.0
2628,2,3.8,3207.0,1.0,1.0,0.0,70.0,2005.0,-37.8407,144.9389,8648.0,520000.0
157,2,5.9,3032.0,1.0,1.0,423.0,62.0,1970.0,-37.7736,144.9015,6567.0,490000.0
4382,2,2.6,3121.0,1.0,1.0,826.0,99.0,1996.0,-37.821,145.0054,14949.0,1226000.0
4200,3,13.0,3046.0,1.0,2.0,751.0,145.0,1972.0,-37.6962,144.9376,8870.0,885000.0
3541,3,8.9,3016.0,1.0,1.0,311.0,126.0,1920.0,-37.8546,144.8762,802.0,1225000.0
1596,3,13.0,3046.0,1.0,2.0,766.0,127.0,1965.0,-37.6988,144.9372,8870.0,806500.0
3142,2,6.1,3182.0,1.0,0.0,0.0,66.0,1930.0,-37.8707,144.9765,13240.0,602000.0
1361,3,8.0,3040.0,2.0,1.0,858.0,165.0,1938.0,-37.7417,144.8961,9264.0,1625000.0
5824,1,21.5,3195.0,1.0,1.0,80.0,88.0,2007.0,-37.99825,145.08696,5087.0,503750.0
272,3,10.5,3034.0,2.0,2.0,593.0,103.0,1970.0,-37.7607,144.8581,4502.0,805000.0
1699,5,13.7,3188.0,2.0,2.0,700.0,224.0,1950.0,-37.9419,145.0156,5454.0,1805000.0
1175,4,13.9,3108.0,2.0,2.0,655.0,170.0,1970.0,-37.782,145.1194,9028.0,1430000.0
948,4,11.4,3163.0,2.0,2.0,557.0,200.0,1938.0,-37.8955,145.0515,7822.0,1450000.0
1836,3,13.0,3166.0,1.0,2.0,715.0,126.0,1949.0,-37.9072,145.0762,3145.0,1316000.0
3236,2,12.6,3020.0,1.0,1.0,225.0,80.0,2000.0,-37.7795,144.8432,3755.0,425000.0
1507,2,6.4,3011.0,1.0,1.0,212.0,98.0,1900.0,-37.7903,144.8879,7570.0,690500.0
2124,4,11.2,3145.0,3.0,2.0,427.0,337.0,2012.0,-37.8704,145.0503,8801.0,2560000.0
77,4,6.4,3078.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,2211.0,1830000.0
5541,3,18.4,3029.0,2.0,2.0,347.0,134.0,2010.0,-37.83963,144.71487,5811.0,451000.0
1687,4,13.7,3188.0,2.0,3.0,688.0,187.0,1925.0,-37.9319,145.0173,5454.0,2140000.0
1857,3,7.9,3079.0,1.0,2.0,537.0,170.0,1945.0,-37.7773,145.0379,5549.0,1155000.0
3957,3,2.5,3121.0,2.0,2.0,324.0,165.0,1880.0,-37.8278,144.9885,1123.0,1475000.0
1044,3,7.8,3058.0,2.0,3.0,370.0,110.0,1920.0,-37.744,144.9501,11204.0,1000000.0
326,2,9.7,3103.0,1.0,1.0,130.0,80.0,1960.0,-37.812,145.0876,5682.0,730000.0
5800,3,17.4,3048.0,1.0,2.0,798.0,128.0,1985.0,-37.65384,144.92272,4704.0,520000.0
3467,4,13.8,3084.0,2.0,2.0,700.0,18.0,1980.0,-37.7326,145.0881,2698.0,895000.0
3082,1,3.3,3141.0,1.0,1.0,0.0,45.0,1960.0,-37.8355,144.9884,14887.0,400000.0
2409,2,2.3,3051.0,1.0,0.0,161.0,106.0,1960.0,-37.8043,144.9437,6821.0,1266000.0
4397,2,2.1,3205.0,1.0,0.0,438.0,2.0,1900.0,-37.8353,144.9599,5943.0,650000.0
5007,3,3.5,3207.0,2.0,2.0,104.0,146.0,2015.0,-37.83165,144.94411000000005,8648.0,1388000.0
3559,2,5.1,3181.0,1.0,1.0,157.0,101.0,1900.0,-37.8522,144.986,4380.0,1350000.0
4869,3,14.5,3087.0,2.0,1.0,253.0,116.0,2005.0,-37.7004,145.09033,1442.0,655000.0
3187,5,6.1,3182.0,4.0,4.0,657.0,312.0,1900.0,-37.8582,144.9913,13240.0,4400000.0
4357,1,4.5,3181.0,1.0,0.0,108.0,54.0,1905.0,-37.8508,145.0051,7717.0,860000.0
2298,4,14.6,3189.0,2.0,1.0,720.0,218.0,1950.0,-37.9394,145.0408,2555.0,1426000.0
98,2,13.8,3018.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,5301.0,447000.0
2018,4,5.6,3101.0,3.0,2.0,641.0,230.0,2010.0,-37.7982,145.0281,10331.0,1750000.0
3509,3,8.0,3016.0,3.0,2.0,515.0,286.0,1990.0,-37.8609,144.8947,6380.0,2910000.0
1673,4,12.1,3046.0,1.0,2.0,700.0,176.0,1960.0,-37.704,144.9399,2606.0,777000.0
4204,3,13.0,3046.0,1.0,2.0,258.0,142.6,2001.0,-37.7047,144.9087,8870.0,595000.0
2300,3,14.6,3189.0,2.0,3.0,558.0,133.0,1955.0,-37.9435,145.0522,2555.0,901000.0
5852,3,17.2,3133.0,1.0,0.0,722.0,94.0,1960.0,-37.8324,145.20467,4181.0,1111500.0
777,2,5.9,3055.0,1.0,1.0,2120.0,59.0,1960.0,-37.7524,144.9347,7082.0,370000.0
6115,3,18.4,3029.0,2.0,2.0,580.0,200.0,1990.0,-37.87447,144.66771,13830.0,540000.0
895,4,9.0,3126.0,1.0,1.0,717.0,235.0,1890.0,-37.8266,145.0849,3265.0,2620000.0
3920,2,13.9,3020.0,1.0,2.0,672.0,111.0,1958.0,-37.7812,144.8121,2185.0,765000.0
370,4,9.2,3104.0,2.0,2.0,1010.0,250.0,1950.0,-37.7982,145.0903,7809.0,2205000.0
4743,2,7.2,3184.0,1.0,1.0,1210.0,65.0,1968.0,-37.8785,144.99316000000005,8989.0,480000.0
4340,3,9.9,3044.0,1.0,2.0,321.0,94.0,1950.0,-37.7242,144.9424,7485.0,708000.0
4594,6,14.3,3109.0,3.0,3.0,1056.0,322.0,1970.0,-37.78053,145.15567,10999.0,1856000.0
3995,4,3.7,3054.0,2.0,1.0,256.0,156.0,1890.0,-37.7833,144.9681,1008.0,1908000.0
2344,2,8.4,3015.0,1.0,1.0,0.0,63.0,2006.0,-37.8413,144.8741,5498.0,485000.0
2562,3,9.9,3044.0,2.0,2.0,540.0,146.0,1999.0,-37.7174,144.941,7485.0,750000.0
1286,1,7.7,3184.0,1.0,1.0,644.0,47.0,1960.0,-37.8798,144.994,8989.0,390000.0
1344,2,8.0,3040.0,1.0,2.0,477.0,143.0,1960.0,-37.7503,144.911,9264.0,1065000.0
1338,1,8.0,3040.0,1.0,1.0,0.0,49.0,1960.0,-37.7475,144.9194,9264.0,280000.0
1075,3,7.8,3058.0,1.0,3.0,385.0,98.0,1920.0,-37.734,144.9603,11204.0,841000.0
